UID,DAY_OF_WEEK,CRS_DEP_TIME,TAXI_OUT,TAXI_IN,ACTUAL_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,AIRLINE_ID,FL_DATE,ORIGIN_CITY_MARKET_ID,DEST_CITY_MARKET_ID,FL_NUM,UNIQUE_CARRIER,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,FIRST_DEP_TIME,ARR_DELAY
0,2,1020,11.0,8.0,373.0,2701.0,11,19930,2017-01-03,30559,32982,879,AS,SEA,"Seattle, WA",WA,LIH,"Lihue, HI",HI,,-11.0
1,6,1220,13.0,9.0,183.0,1171.0,5,19805,2017-01-28,33570,30194,2491,AA,SAN,"San Diego, CA",CA,DFW,"Dallas/Fort Worth, TX",TX,,1.0
2,6,945,48.0,6.0,355.0,2552.0,11,19930,2017-01-21,30299,30466,172,AS,ANC,"Anchorage, AK",AK,PHX,"Phoenix, AZ",AZ,,18.0
3,1,1437,17.0,8.0,136.0,967.0,4,19977,2017-01-23,32457,30325,2030,UA,SFO,"San Francisco, CA",CA,DEN,"Denver, CO",CO,,0.0
4,1,830,37.0,7.0,114.0,534.0,3,19393,2017-01-02,30397,30852,3812,WN,ATL,"Atlanta, GA",GA,IAD,"Washington, DC",VA,,197.0
5,7,1735,28.0,5.0,151.0,984.0,4,20366,2017-01-01,31453,33342,4220,EV,IAH,"Houston, TX",TX,MKE,"Milwaukee, WI",WI,,-17.0
6,4,1240,11.0,6.0,46.0,160.0,1,20304,2017-01-05,33785,30466,3063,OO,YUM,"Yuma, AZ",AZ,PHX,"Phoenix, AZ",AZ,,-15.0
7,1,710,10.0,4.0,75.0,337.0,2,20416,2017-01-02,32575,32457,949,NK,LAX,"Los Angeles, CA",CA,OAK,"Oakland, CA",CA,,-7.0
9,4,825,22.0,4.0,167.0,1250.0,6,20304,2017-01-05,34614,30977,5677,OO,SLC,"Salt Lake City, UT",UT,ORD,"Chicago, IL",IL,,478.0
10,7,1632,43.0,6.0,162.0,852.0,4,20366,2017-01-15,30194,31650,5153,EV,DFW,"Dallas/Fort Worth, TX",TX,MSP,"Minneapolis, MN",MN,,4.0
11,7,1131,22.0,7.0,162.0,1065.0,5,20416,2017-01-22,32467,31703,524,NK,FLL,"Fort Lauderdale, FL",FL,EWR,"Newark, NJ",NJ,,16.0
12,5,1030,14.0,12.0,167.0,930.0,4,19790,2017-01-20,31650,31057,2143,DL,MSP,"Minneapolis, MN",MN,CLT,"Charlotte, NC",NC,,4.0
13,5,519,16.0,5.0,40.0,69.0,1,20304,2017-01-20,30333,34150,7369,OO,APN,"Alpena, MI",MI,PLN,"Pellston, MI",MI,,276.0
14,1,905,17.0,7.0,62.0,196.0,1,20366,2017-01-09,30977,31003,3990,EV,ORD,"Chicago, IL",IL,CID,"Cedar Rapids/Iowa City, IA",IA,,7.0
16,7,750,12.0,41.0,241.0,1488.0,6,19805,2017-01-29,32337,30466,404,AA,IND,"Indianapolis, IN",IN,PHX,"Phoenix, AZ",AZ,,-20.0
