UID,DAY_OF_WEEK,CRS_DEP_TIME,TAXI_OUT,TAXI_IN,ACTUAL_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,AIRLINE_ID,FL_DATE,ORIGIN_CITY_MARKET_ID,DEST_CITY_MARKET_ID,FL_NUM,CARRIER,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST,DEST_CITY_NAME,DEST_STATE_ABR,FIRST_DEP_TIME,ARR_DELAY
0,3,1430,22,6,149,829,4,19393,2017-01-25,31454,32337,1489,WN,MCO,"Orlando, FL",FL,IND,"Indianapolis, IN",IN,,-4
1,6,1925,74,15,198,760,4,19790,2017-01-07,31703,30397,220,DL,JFK,"New York, NY",NY,ATL,"Atlanta, GA",GA,908,965
2,5,840,17,5,301,"2,075",9,19805,2017-01-27,34100,30466,668,AA,PHL,"Philadelphia, PA",PA,PHX,"Phoenix, AZ",AZ,,-40
3,4,1235,12,9,193,"1,562",7,19805,2017-01-05,30194,30721,1430,AA,DFW,"Dallas/Fort Worth, TX",TX,BOS,"Boston, MA",MA,,43
7,4,1202,10,4,91,421,2,20304,2017-01-05,34262,32457,5490,OO,PSP,"Palm Springs, CA",CA,SFO,"San Francisco, CA",CA,,9
8,1,555,14,5,48,163,1,19690,2017-01-09,32134,32758,218,HA,HNL,"Honolulu, HI",HI,KOA,"Kona, HI",HI,,0
9,1,1710,20,3,361,"2,602",11,20409,2017-01-30,30721,32575,405,B6,BOS,"Boston, MA",MA,LGB,"Long Beach, CA",CA,,-38
11,4,1235,5,11,62,221,1,19393,2017-01-26,31721,30977,663,WN,FNT,"Flint, MI",MI,MDW,"Chicago, IL",IL,,-16
13,5,730,29,9,111,391,2,19393,2017-01-13,34614,30325,1652,WN,SLC,"Salt Lake City, UT",UT,DEN,"Denver, CO",CO,,15
14,5,1215,15,4,50,143,1,20366,2017-01-06,30397,30208,5344,EV,ATL,"Atlanta, GA",GA,AGS,"Augusta, GA",GA,,16
15,4,1420,11,7,100,606,3,19790,2017-01-26,30977,30397,2492,DL,ORD,"Chicago, IL",IL,ATL,"Atlanta, GA",GA,,-30
16,1,600,13,6,107,508,3,19790,2017-01-30,33667,30397,2382,DL,PHF,"Newport News/Williamsburg, VA",VA,ATL,"Atlanta, GA",GA,,-11
17,2,720,17,5,121,731,3,19805,2017-01-31,30194,30397,2661,AA,DFW,"Dallas/Fort Worth, TX",TX,ATL,"Atlanta, GA",GA,,-5
18,1,1945,32,4,322,"2,172",9,19790,2017-01-02,30397,34057,414,DL,ATL,"Atlanta, GA",GA,PDX,"Portland, OR",OR,,21
19,1,1405,14,4,71,333,2,19393,2017-01-16,32457,32575,1678,WN,SJC,"San Jose, CA",CA,ONT,"Ontario, CA",CA,,1
21,6,2002,14,6,131,942,4,20409,2017-01-14,30693,30721,1906,B6,BNA,"Nashville, TN",TN,BOS,"Boston, MA",MA,,59
22,3,951,18,4,149,899,4,20409,2017-01-11,32467,30852,1480,B6,FLL,"Fort Lauderdale, FL",FL,DCA,"Washington, DC",VA,,4
23,3,1505,20,3,80,363,2,20304,2017-01-25,32457,32575,5160,OO,SFO,"San Francisco, CA",CA,ONT,"Ontario, CA",CA,,31
24,4,1654,7,7,85,387,2,20409,2017-01-05,32575,33192,366,B6,LGB,"Long Beach, CA",CA,SMF,"Sacramento, CA",CA,,28
25,7,1310,18,6,110,666,3,19805,2017-01-22,30397,34100,2072,AA,ATL,"Atlanta, GA",GA,PHL,"Philadelphia, PA",PA,,50
26,3,755,16,4,94,425,2,19790,2017-01-04,30397,33495,875,DL,ATL,"Atlanta, GA",GA,MSY,"New Orleans, LA",LA,,-9
27,4,1735,15,16,153,944,4,20409,2017-01-12,31454,31703,2384,B6,MCO,"Orlando, FL",FL,JFK,"New York, NY",NY,,-13
29,4,715,26,7,122,594,3,19790,2017-01-19,31295,30397,1640,DL,DTW,"Detroit, MI",MI,ATL,"Atlanta, GA",GA,,-22
30,6,1100,18,5,389,"2,586",11,19805,2017-01-21,31703,32457,179,AA,JFK,"New York, NY",NY,SFO,"San Francisco, CA",CA,,-15
33,3,1300,14,5,362,"2,688",11,19930,2017-01-11,32758,30559,876,AS,KOA,"Kona, HI",HI,SEA,"Seattle, WA",WA,,4
34,3,1830,16,3,162,"1,212",5,19805,2017-01-18,30194,33667,2333,AA,DFW,"Dallas/Fort Worth, TX",TX,ORF,"Norfolk, VA",VA,,-7
